TIME,SIDE,STRIKE,OI
21:46,CE,70000,60189
21:46,CE,70200,60627
21:46,CE,72400,12016
21:46,CE,78000,10991
21:46,CE,78000,32000
21:46,CE,79500,12300
21:46,CE,80000,48152
21:46,CE,80500,39920
21:46,CE,80500,12917
21:46,CE,81000,39172
21:46,CE,81500,20000
21:46,CE,85000,20000
21:46,PE,69200,60170
21:46,PE,70000,59069
21:46,PE,71000,12592
