call_mark,call_oi,call_volume,call_gamma,call_delta,call_vega,strike_price,put_gamma,put_delta,put_vega,put_volume,put_oi,put_mark,Expiry,timestamp_IST,max_pain
110.06769554,0,0.02,0.00178628,0.92756723,0.18345678,1700,0.00171035,-0.06518974,0.16914299,2009.8799999999992,21368,2.14164332,14-07-2026,18:00,1695
91.45796079,0,,0.00252004,0.8914614,0.2478789,1720,0.0024709,-0.10047497,0.2343958,210.06,7254,3.45162947,14-07-2026,18:00,1298
73.57531147,200,3.5,0.00344948,0.8395266,0.32446099,1740,0.00344992,-0.15446929,0.31643651,259.97,13638,5.60298037,14-07-2026,18:00,919
56.94829676,1162,28.04,0.00450703,0.76662867,0.40744127,1760,0.00455797,-0.22835348,0.40252551,225.95,8006,8.95887419,14-07-2026,18:00,563
42.16413717,431,55.349999999999994,0.00549626,0.66991519,0.48206875,1780,0.0055819,-0.32737454,0.4804679,304.20000000000005,14089,14.14517847,14-07-2026,18:00,231
29.88424411,5557,726.5500000000001,0.00607448,0.55327297,0.5262443,1800,0.00618722,-0.4460592,0.52612159,1655.1299999999985,139207,21.8377575,14-07-2026,18:00,-89
20.26537665,34648,563.4099999999999,0.00605142,0.43135753,0.52311173,1820,0.00616793,-0.57040775,0.52269591,284.5499999999999,2652,32.19854317,14-07-2026,18:00,-389
13.3695063,17560,688.77,0.00542947,0.31888069,0.47527762,1840,0.00551961,-0.68516675,0.47270939,92.94,2685,45.29988851,14-07-2026,18:00,-265
8.63737815,8769,177.17999999999998,0.00447666,0.22640973,0.40058932,1860,0.0045232,-0.77998358,0.39411157,23.020000000000003,2300,60.56943468,14-07-2026,18:00,-151
5.59631927,8129,149.42999999999998,0.00346948,0.1562759,0.31887744,1880,0.0034597,-0.85169876,0.30797959,20.869999999999997,2025,77.50735308,14-07-2026,18:00,-33
3.69982921,30702,448.42999999999995,0.00259027,0.10860453,0.24798574,1900,0.00252385,-0.900972,0.2319237,63.36,0,95.62106484,14-07-2026,18:00,101
2.50586968,55192,855.8199999999999,0.00190077,0.07560833,0.18957215,1920,0.00178588,-0.93473776,0.1692898,43.839999999999996,3982,114.39022646,14-07-2026,18:00,318
108.57289763,0,0.02,0.00184693,0.92425168,0.18928208,1700,0.00176789,-0.06786707,0.17398407,2012.7999999999993,21380,2.24890482,14-07-2026,18:11,1701
89.97261545,0,,0.00259082,0.88759414,0.25342858,1720,0.00255071,-0.10515491,0.24156642,208.06,7254,3.64917577,14-07-2026,18:11,1305
72.18534869,147,4.03,0.00353092,0.83489896,0.32955246,1740,0.00353621,-0.15936423,0.32205644,259.97,13638,5.84726477,14-07-2026,18:11,925
55.69248015,1162,28.04,0.00458891,0.75891707,0.41355764,1760,0.004644,-0.23612149,0.40888571,225.95,8006,9.34757853,14-07-2026,18:11,568
41.08161862,431,55.25,0.00555907,0.66061828,0.48591611,1780,0.00564099,-0.33702449,0.48460921,304.9,14094,14.73404368,14-07-2026,18:11,236
28.99116128,5557,726.5500000000001,0.00608598,0.54316878,0.52632531,1800,0.00620743,-0.45612572,0.5262288,1655.4299999999987,139247,22.61892141,14-07-2026,18:11,-86
19.57808684,34693,563.5099999999999,0.00601305,0.42144897,0.51912869,1820,0.00613253,-0.58045916,0.51862217,284.64999999999986,2662,33.17041997,14-07-2026,18:11,-397
12.86106571,17640,689.6200000000001,0.00536389,0.31006659,0.46822589,1840,0.00545284,-0.69411986,0.46544306,92.94,2685,46.44028094,14-07-2026,18:11,-276
8.35016289,8698,177.17999999999998,0.00439204,0.21990235,0.39283722,1860,0.00443767,-0.78671151,0.38596791,23.020000000000003,2300,61.89775606,14-07-2026,18:11,-163
5.34900292,8129,147.42999999999998,0.00339001,0.1514413,0.31139748,1880,0.00337536,-0.85667598,0.30011036,20.869999999999997,2025,78.92355259,14-07-2026,18:11,-46
3.54134605,30702,448.17999999999995,0.00252359,0.10487091,0.24109808,1900,0.00244236,-0.90585973,0.22280252,63.36,0,97.0792623,14-07-2026,18:11,88
2.3485727,55192,859.0699999999999,0.00183692,0.07196165,0.1820075,1920,0.00170662,-0.93908416,0.15996961,43.839999999999996,3982,115.92265184,14-07-2026,18:11,305
