strike_price,contract_type,mark_price,oi_contracts,timestamp_IST,Expiry
56.69669774,10931,2365.7199999999957,0.00458512,0.80544755,0.24855408,2300,0.00461620,-0.19487257,0.24876576,4134.420000000023,187452,6.53360373,03-02-2026,04:34,0
41.48200384,11885,1238.9199999999976,0.00587133,0.70021244,0.31374430,2320,0.00590041,-0.29829209,0.31303465,1493.4499999999903,30638,11.29542277,03-02-2026,04:34,0
28.55501773,29860,2027.1499999999983,0.00673473,0.57352556,0.35396240,2340,0.00679064,-0.42516152,0.35374590,1764.9199999999976,11274,18.34769776,03-02-2026,04:34,0
18.41077362,45068,2976.709999999995,0.00683854,0.43722601,0.35563510,2360,0.00688884,-0.56388385,0.35547094,1168.8199999999995,8829,28.20970927,03-02-2026,04:34,0
11.09474832,32030,2036.589999999999,0.00613000,0.30600847,0.31663216,2380,0.00616882,-0.69494302,0.31620616,996.9000000000004,13391,40.87785034,03-02-2026,04:34,0
6.25386551,79582,5262.870000000007,0.00485716,0.19813664,0.25128336,2400,0.00486716,-0.80540545,0.24854762,777.88,6083,55.96489155,03-02-2026,04:34,0
3.3270224,54945,2075.489999999994,0.00343480,0.11810110,0.17854027,2420,0.00340613,-0.88618219,0.17391764,60.97,513,73.04429201,03-02-2026,04:34,0
1.68177752,30261,3151.079999999991,0.00222167,0.06696668,0.11711843,2440,0.00211256,-0.94029108,0.10711823,35.78,110,91.41733806,03-02-2026,04:34,0
0.84170205,25098,1967.9599999999928,0.00134123,0.03630655,0.07187465,2460,0.00118786,-0.97046434,0.06062652,13.179999999999998,184,110.65797391,03-02-2026,04:34,0
0.41363077,44050,1610.4199999999996,0.00076641,0.01902312,0.04188444,2480,0.00050518,-0.98964969,0.02479118,94.22,680,130.06372609,03-02-2026,04:34,0
0.64162618,159345,5493.010000000008,0.00076978,0.02376828,0.05056298,2500,0.00015545,-0.99739520,0.00726990,17.219999999999995,660,149.94956103,03-02-2026,04:34,0
0.16238028,45444,937.8300000000012,0.00030447,0.00735510,0.01837426,2520,0.00000000,-1.00000000,0.00000000,0.15000000000000002,5,169.97,03-02-2026,04:34,0
0.26386089,115081,1987.8399999999967,0.00034390,0.01008166,0.02422835,2540,0.00000000,-1.00000000,0.00000000,2.83,6,189.97,03-02-2026,04:34,0
0.37099648,108974,1333.1599999999999,0.00035898,0.01226185,0.02872554,2560,0.00000000,-1.00000000,0.00000000,3.0999999999999996,140,209.97,03-02-2026,04:34,0
0.18501901,109005,1302.559999999999,0.00020993,0.00657323,0.01663853,2580,0.00000000,-1.00000000,0.00000000,0.51,20,229.94,03-02-2026,04:34,0
0.04551421,151431,3324.969999999998,0.00007461,0.00191372,0.00549798,2600,0.00000000,-1.00000000,0.00000000,0.51,51,249.97,03-02-2026,04:34,0
0.04553625,112204,1436.5700000000002,0.00006608,0.00180107,0.00520295,2620,0.00000000,-1.00000000,0.00000000,0.51,5001,269.97,03-02-2026,04:34,0
1.39890198,126503,1363.9799999999996,0.00044443,0.02683704,0.05597864,2640,0.00008224,-0.99742201,0.00720230,,0,290.01446882,03-02-2026,04:34,0
0.07561732,47563,652.5799999999998,0.00007504,0.00248482,0.00696662,2660,0.00007578,-0.99748462,0.00704394,,0,310.04673648,03-02-2026,04:34,0
0.06512726,30119,364.2499999999998,0.00006197,0.00210037,0.00598284,2680,0.00006229,-0.99788482,0.00602097,1.6,0,330.00609943,03-02-2026,04:34,0
0.16041202,259548,3280.3499999999813,0.00010192,0.00425064,0.01129080,2700,0.00010242,-0.99572170,0.01135681,0.25,0,350.10208761,03-02-2026,04:34,0
0.06527615,34731,485.63000000000363,0.00005190,0.00192241,0.00552037,2720,0.00005265,-0.99804530,0.00560570,,0,370.00579535,03-02-2026,04:34,0
0.06547762,8482,130.79,0.00004788,0.00184653,0.00532226,2740,0.00004827,-0.99813528,0.00536998,,0,390.03628769,03-02-2026,04:34,0
0.03002503,20182,455.60000000000025,0.00002590,0.00091906,0.00281242,2760,0.00002600,-0.99907669,0.00282436,,0,410.00038836,03-02-2026,04:34,0
0.06004157,201880,1929.7899999999997,0.00003644,0.00154728,0.00453091,2800,,,,,,,03-02-2026,04:34,0
