tick_size,contract_value,tags,contract_type,spot_price,mark_change_24h,close,turnover,product_trading_status,oi,turnover_symbol,oi_change_usd_6h,underlying_asset_symbol,turnover_usd,oi_value,oi_value_symbol,low,open,strike_price,high,symbol,timestamp,product_id,time,mark_price,size,leverage,mark_vol,volume,oi_contracts,sort_priority,ltp_change_24h,oi_value_usd,description,price_band.lower_limit,price_band.upper_limit,quotes.ask_iv,quotes.ask_size,quotes.best_ask,quotes.best_ask_mm,quotes.best_bid,quotes.best_bid_mm,quotes.bid_iv,quotes.bid_size,quotes.impact_mid_price,quotes.mark_iv,greeks.delta,greeks.gamma,greeks.rho,greeks.spot,greeks.theta,greeks.vega
0.100000000000000000,0.001000000000000000,[],put_options,92301.2,-5.4226,2005.0,203758.97260000004,operational,1.7280,USD,159475.3900,BTC,203758.97260000004,1.7280,BTC,864.0,2861.0,94600,2998.0,P-BTC-94600-111225,2025-12-10 22:36:41,111850,2025-12-09T22:34:10.930506855Z,2350.17306886,2166.0,200,0.43245615,2.1660000000000004,1728,1,-29.9196,159338.8800,BTC  Put,534.5505723,4259.34089044,0.46875728,6631,2370,2370,2330,2330,0.38776698,9717,,0.43250364,-0.92604619,0.00008977,-1.34235834,92301.2,-195.82073288,5.05360255
0.100000000000000000,0.001000000000000000,[],put_options,92301.2,-7.6538,2130.0,132719.46509999997,operational,0.1590,USD,830.6000,BTC,132719.46509999997,0.1590,BTC,874.0,2160.0,94400,3018.4,P-BTC-94400-111225,2025-12-10 22:36:41,111656,2025-12-09T22:34:10.930506855Z,2160.04849607,1434.0,200,0.42182839,1.4340000000000002,159,1,-1.3889,14664.4746,BTC  Put,342.73503241,4081.43635739,0.45732748,6479,2194,2194,2152,2152,0.38252654,9733,,0.42191751,-0.91306572,0.00010367,-1.32128914,92287.7,-216.48511575,5.71001824
0.100000000000000000,0.001000000000000000,[],put_options,92301.2,-10.2856,1580.0,182654.73150000002,operational,1.3240,USD,110654.5100,BTC,182654.73150000002,1.3240,BTC,727.0,2362.0,94200,2644.0,P-BTC-94200-111225,2025-12-10 22:36:41,111824,2025-12-09T22:34:10.930506855Z,1973.43441207,1947.0,200,0.41301866,1.9469999999999998,1324,1,-33.1075,122107.6212,BTC  Put,142.20672607,3864.71986201,0.43873349,6598,1991,1991,1954,1954,0.38165212,9717,,0.41321496,-0.89560140,0.00012186,-1.29363644,92301.1,-241.16050181,6.53437191
0.100000000000000000,0.001000000000000000,[],put_options,92301.2,-13.2917,1536.0,1872703.8751000003,operational,2.6780,USD,193160.8800,BTC,1872703.8751000003,2.6780,BTC,575.0,2000.0,94000,2726.0,P-BTC-94000-111225,2025-12-10 22:36:41,111636,2025-12-09T22:34:10.930506855Z,1790.30435378,20160.0,200,0.40521814,20.160000000000004,2678,1,-23.2000,247026.4862,BTC  Put,0.1,3696.93708748,0.42840756,6677,1819,1819,1781,1781,0.37661633,9719,,0.40537204,-0.87622622,0.00014037,-1.26363094,92288.7,-266.83517459,7.37666409
0.100000000000000000,0.001000000000000000,[],put_options,92301.2,-16.8236,1717.0,274752.3228,operational,0.5310,USD,0.0000,BTC,274752.3228,0.5310,BTC,484.0,2120.0,93800,2563.0,P-BTC-93800-111225,2025-12-10 22:36:41,111808,2025-12-09T22:34:10.930506855Z,1610.47340546,2967.0,200,0.39662911,2.966999999999999,531,1,-19.0094,48956.5008,BTC  Put,0.1,3472.73346787,0.41978694,6531,1630,1630,1594,1594,0.37744746,9717,,0.39641453,-0.84702021,0.00016398,-1.21965046,92301.9,-304.99654178,8.52463960
0.100000000000000000,0.001000000000000000,[],put_options,92301.2,-20.7229,1242.0,582297.3066000001,operational,0.6020,USD,184.5800,BTC,582297.3066000001,0.6020,BTC,470.0,1705.0,93600,2366.0,P-BTC-93600-111225,2025-12-10 22:36:41,111635,2025-12-09T22:34:10.930506855Z,1436.56440509,6286.0,200,0.3896599,6.285999999999998,602,1,-27.1554,55561.5900,BTC  Put,0.1,3315.39421348,0.40665159,6479,1457,1457,1423,1423,0.37071846,9763,,0.38967119,-0.81979095,0.00018705,-1.17855954,92296.3,-330.36700043,9.47551640
0.100000000000000000,0.001000000000000000,[],put_options,92301.2,-25.0683,992.0,789374.3477,operational,1.0220,USD,50943.5300,BTC,789374.3477,1.0220,BTC,390.0,1661.0,93400,2301.0,P-BTC-93400-111225,2025-12-10 22:36:41,111793,2025-12-09T22:34:10.930506855Z,1270.28252388,8474.0,200,0.38434142,8.473999999999998,1022,1,-40.2769,94211.9458,BTC  Put,0.1,3107.67120868,0.39768133,6577,1294,1294,1262,1262,0.36723034,9719,,0.38441994,-0.78593289,0.00021109,-1.12825258,92289,-360.62345890,10.51624132
0.100000000000000000,0.001000000000000000,[],put_options,92301.2,-29.7804,1392.0,576649.4791000001,operational,0.4790,USD,-6737.1000,BTC,576649.4791000001,0.4790,BTC,363.0,1410.0,93200,2108.0,P-BTC-93200-111225,2025-12-10 22:36:41,111634,2025-12-09T22:34:10.930506855Z,1112.60195081,6231.0,200,0.38038896,6.230999999999998,479,1,-1.2766,44195.5577,BTC  Put,0.1,2936.16213244,0.39320379,6515,1128,1128,1098,1098,0.36754859,9717,,0.38033039,-0.74034254,0.00023609,-1.06150439,92300.7,-398.84641771,11.69708532
0.100000000000000000,0.001000000000000000,[],put_options,92301.2,-34.6108,1200.0,4960303.844500002,operational,2.7740,USD,71616.2600,BTC,4960303.844500002,2.7740,BTC,264.0,1325.0,93000,1985.0,P-BTC-93000-111225,2025-12-10 22:36:41,111784,2025-12-09T22:34:10.930506855Z,966.08569856,53155.0,200,0.37859666,53.15499999999995,2774,1,-9.4340,256252.4110,BTC  Put,0.1,2721.78571207,0.38848523,6681,982,982,954,954,0.36636139,9718,,0.37879262,-0.69402603,0.00025753,-0.99393822,92296.3,-428.17814740,12.65769656
0.100000000000000000,0.001000000000000000,[],put_options,92301.2,-39.4178,968.0,1621687.6619999995,operational,0.3020,USD,-12366.7300,BTC,1621687.6619999995,0.3020,BTC,302.0,1292.0,92800,1876.0,P-BTC-92800-111225,2025-12-10 22:36:41,111594,2025-12-09T22:34:10.930506855Z,832.9665594,17490.0,200,0.37951274,17.48999999999999,302,1,-25.0774,27859.9228,BTC  Put,0.1,2533.60730214,0.38854931,6501,853,853,827,827,0.36923992,9719,,0.37949841,-0.64256207,0.00027296,-0.91932295,92289,-457.24441136,13.46566296
