contract_value,mark_price,product_trading_status,tags,underlying_asset_symbol,contract_type,leverage,oi_value_usd,oi_value_symbol,tick_size,ltp_change_24h,close,strike_price,turnover_symbol,symbol,oi_change_usd_6h,oi,mark_change_24h,low,open,oi_contracts,high,spot_price,turnover_usd,timestamp,product_id,oi_value,volume,time,turnover,size,sort_priority,description,mark_vol,greeks.delta,greeks.gamma,greeks.rho,greeks.spot,greeks.theta,greeks.vega,price_band.lower_limit,price_band.upper_limit,quotes.ask_iv,quotes.ask_size,quotes.best_ask,quotes.best_ask_mm,quotes.best_bid,quotes.best_bid_mm,quotes.bid_iv,quotes.bid_size,quotes.impact_mid_price,quotes.mark_iv
0.010000000000000000,47.54352723,operational,[],ETH,put_options,100,311313.4315,ETH,0.010000000000000000,-41.9540,50.5,3360,USD,P-ETH-3360-111225,197928.8000,93.4300,-47.3639,13.2,87.0,9343,102.2,3334.72,3107811.2273999997,2025-12-10 22:36:41,111648,93.4300,923.7100000000004,2025-12-09T22:34:10.930506855Z,3107811.2273999997,92371.0,1,ETH  Put,0.63961496,-0.61552752,0.00458838,-0.03210174,3334.4,-28.51518308,0.49811817,0.01,100.05887309,0.65081611,1815,48.3,48.3,47.1,47.1,0.62672496,2439,,0.63977254
0.010000000000000000,36.14328822,operational,[],ETH,put_options,100,655162.9570,ETH,0.010000000000000000,-41.4706,39.8,3340,USD,P-ETH-3340-111225,451441.7100,196.6600,-54.0212,9.4,68.0,19666,84.5,3334.72,4128725.5077000023,2025-12-10 22:36:41,111800,196.6600,1229.8800000000006,2025-12-09T22:34:10.930506855Z,4128725.5077000023,122988.0,1,ETH  Put,0.64239242,-0.52153472,0.00476329,-0.02713683,3334.43,-29.85581050,0.51933260,0.01,81.69755973,0.65017045,1815,36.7,36.7,35.8,35.8,0.63284069,3418,,0.64250767
0.010000000000000000,26.87780155,operational,[],ETH,put_options,100,573968.7580,ETH,0.010000000000000000,-51.4563,30.0,3320,USD,P-ETH-3320-111225,32977.0200,172.1500,-60.4893,7.0,61.8,17215,77.1,3334.72,4010801.1548000006,2025-12-10 22:36:41,111647,172.1500,1198.23,2025-12-09T22:34:10.930506855Z,4010801.1548000006,119823.0,1,ETH  Put,0.64993138,-0.42735863,0.00463241,-0.02219461,3334.4,-29.77448157,0.51143480,0.01,66.26031967,0.657444,1815,27.4,27.4,26.6,26.6,0.64180166,3551,,0.64993124
0.010000000000000000,19.66585072,operational,[],ETH,put_options,100,1969993.9200,ETH,0.010000000000000000,-63.2075,19.5,3300,USD,P-ETH-3300-111225,1332151.5000,590.8800,-66.2990,4.7,53.0,59088,68.2,3334.72,8912232.796600003,2025-12-10 22:36:41,111778,590.8800,2658.8699999999976,2025-12-09T22:34:10.930506855Z,8912232.796600003,265887.0,1,ETH  Put,0.66153982,-0.33951685,0.00424523,-0.01760661,3334.4,-28.31083864,0.47740997,0.01,53.41157512,0.6690377,1815,20.1,20.1,19.4,19.4,0.65437496,6381,,0.6615675
0.010000000000000000,13.89968184,operational,[],ETH,put_options,100,704713.7790,ETH,0.010000000000000000,-74.0000,11.7,3280,USD,P-ETH-3280-111225,560009.1200,211.5400,-71.9724,3.3,45.0,21154,54.3,3334.72,3583572.6723999996,2025-12-10 22:36:41,111646,211.5400,1066.1799999999996,2025-12-09T22:34:10.930506855Z,3583572.6723999996,106618.0,1,ETH  Put,0.66999588,-0.26062822,0.00371828,-0.01349750,3334.43,-25.42076712,0.42339250,0.01,45.40659142,0.67822829,1815,14.3,14.3,13.6,13.6,0.66169471,3487,,0.67007779
0.010000000000000000,9.69973401,operational,[],ETH,put_options,100,3255235.0380,ETH,0.010000000000000000,-71.5026,11.0,3260,USD,P-ETH-3260-111225,1443886.5700,977.4600,-76.8432,2.81,38.6,97746,46.9,3334.72,5400804.615899999,2025-12-10 22:36:41,111758,977.4600,1612.3299999999995,2025-12-09T22:34:10.930506855Z,5400804.615899999,161233.0,1,ETH  Put,0.68232654,-0.19454729,0.00309761,-0.01006402,3334.52,-21.93090436,0.35892520,0.01,39.85143498,0.6900999,1815,10,10,9.4,9.4,0.67338198,11902,,0.68244011
0.010000000000000000,6.2586226,operational,[],ETH,put_options,100,329129.5512,ETH,0.010000000000000000,-77.7409,6.7,3240,USD,P-ETH-3240-111225,169753.2900,98.7600,-82.3822,1.8,30.1,9876,38.8,3334.72,1843489.9758000004,2025-12-10 22:36:41,111614,98.7600,548.9000000000001,2025-12-09T22:34:10.930506855Z,1843489.9758000004,54890.0,1,ETH  Put,0.68196269,-0.13700960,0.00246626,-0.00707881,3334.72,-17.48110049,0.28593941,0.01,32.63268394,0.69080889,1815,6.5,6.5,6,6,0.6733197,2846,,0.68195187
0.010000000000000000,3.98216441,operational,[],ETH,put_options,100,298397.9040,ETH,0.010000000000000000,-82.8571,4.2,3220,USD,P-ETH-3220-111225,-42446.6600,89.4800,-86.5732,1.2,24.5,8948,31.3,3334.72,1977053.0523,2025-12-10 22:36:41,111615,89.4800,590.4599999999998,2025-12-09T22:34:10.930506855Z,1977053.0523,59046.0,1,ETH  Put,0.68676752,-0.09444367,0.00188037,-0.00487488,3334.38,-13.49733679,0.21938976,0.01,27.23307951,0.69553018,2021,4.2,4.2,3.8,3.8,0.67729175,2421,,0.68688249
0.010000000000000000,2.5708112,operational,[],ETH,put_options,100,2153165.2794,ETH,0.010000000000000000,-85.5000,2.9,3200,USD,P-ETH-3200-111225,736797.9500,646.0200,-89.7090,0.76,20.0,64602,29.0,3334.72,7713404.533499999,2025-12-10 22:36:41,111616,646.0200,2296.009999999999,2025-12-09T22:34:10.930506855Z,7713404.533499999,229601.0,1,ETH  Put,0.69910159,-0.06462328,0.00138296,-0.00333360,3334.43,-10.32405079,0.16455373,0.01,23.60130869,0.71202517,1815,2.8,2.8,2.4,2.4,0.68769574,8199,,0.69918628
0.010000000000000000,1.56644776,operational,[],ETH,put_options,100,578582.3600,ETH,0.010000000000000000,-89.4737,1.8,3180,USD,P-ETH-3180-111225,700.2200,173.5400,-92.4426,0.6,17.1,17354,22.3,3334.72,1816919.1773,2025-12-10 22:36:41,111617,173.5400,542.1699999999998,2025-12-09T22:34:10.930506855Z,1816919.1773,54217.0,1,ETH  Put,0.70650662,-0.04116144,0.00095918,-0.00212174,3334.78,-7.26854671,0.11499051,0.01,19.50025768,0.71799278,2416,1.7,1.7,1.4,1.4,0.69186449,2420,,0.70661873
